id;name;path;uuid
1;invoice Tanzanian;Fantastic National;8a55d2cf-8cca-4c69-9d2a-0f3e9ccd2a03
2;Keyboard Rwanda;fault-tolerant;2abd3343-aee3-47fa-8b75-9ae8942c4f11
3;Tools Computers UIC-Franc;Steel;ecb78f5a-8e3a-492b-85b5-b3714ca08c0c
4;Trail;primary;9890ef5a-9900-4442-8935-8347af4e4d2a
5;Bike;convergence Tugrik;0843b16c-9394-4a7c-a023-582691733ab0
6;Customer Industrial Unbranded;Plastic deposit;ee9636f6-f061-4c47-aec3-5f7301430159
7;Indiana Sleek;Books;9a9b3700-635d-4c71-8eaf-e46be2664c06
8;CSS online;matrix Dynamic context-sensitive;3baa5a5e-f2ae-4d24-8f3c-17c91d9165a6
9;Handmade reboot Executive;Zambia optical withdrawal;2a86bbfb-59a3-4b3f-a4b7-ebb44b6cc592
10;Representative Ergonomic Metal;technologies motivating Bermuda;9a537d6b-ed2c-4e50-bec6-e5d8c95daaf8
